Empresa,Yhaguy,,,,,,,,,
,,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,ESTADO,SALDO,COSTO,MAYORISTA,DOLARES,MINORISTA,AUTOCENTRO
VAR RRCE 0023.4,REPARO BOMBA EMBR.M/N SUP.GRUESO,REPUESTOS,VARGA,A,0,"36729,091",50502,"13,29",75753,85539
VAR RRCE 0024.2,REPARO BOMBA EMBR.AUX.M/N,REPUESTOS,VARGA,A,0,"48181,818",66250,"17,434",99375,66008
VAR RRCE 0032.3,REPARO BOMBA EMBR.M/N PICUDO SUP.GRUESO,REPUESTOS,VARGA,A,0,"40033,995",54668,"14,386",82002,63216
VAR RRCE 0038.2,REPARO CIL.EMBRAGUE HIDR.VL METAL,REPUESTOS,VARGA,A,0,"33842,727",46534,"12,246",69801,69801
VAR RRCE 0041.0,REPARO BOMBA EMBR.M/N PICUDO SUP.GRUESO,REPUESTOS,VARGA,A,0,39758,54668,0,82002,0
VAR RRCM 0003.5,REPARO BOMBA CENTRAL 608 COMPLETO,REPUESTOS,VARGA,A,0,"43668,182",60044,"15,801",90066,70406
VAR RRCM 0015.0,REPARO BOMBA CENTRAL 709/912/914 SIMPLE,REPUESTOS,VARGA,A,0,"52501,373",72189,"18,997",108284,87450
VAR RRCM 0017.5,REPARO BOMBA CENTRAL 1513 COMPLETO,REPUESTOS,VARGA,A,0,80700,110963,"29,201",166445,129746
VAR RRCM 0018.3,REPARO BOMBA CENTRAL 1513 PARC.,REPUESTOS,VARGA,A,0,"75616,753",34241,"9,011",51362,51362
VAR RRCM 2783.2,BOMBA CENTRAL FRENO 708,REPUESTOS,VARGA,A,0,107781,0,0,0,0
VAR RRCQ 0004.1,CASQUILLO COMPRESOR STD,REPUESTOS,VARGA,A,0,"21753,807",29194,"7,683",43791,43791
VAR RRCR 5642.4,REPARO CIL.RUEDA DEL.1113 1 5/8,REPUESTOS,VARGA,A,0,"36329,091",49952,"13,145",74928,67500
VAR RRCR 5643.2,REPARO CIL.RUEDA TRAS. 1113 1 3/4,REPUESTOS,VARGA,A,0,"49000,909",67376,"17,731",101064,75594
VAR RRCR 5655.6,REPARO CIL.RUEDA DEL.1313 1 27/32,REPUESTOS,VARGA,A,0,"48202,727",66279,"17,442",99419,75938
VAR RRCR 5656.4,"REPARO CIL.RUEDA TRAS.1313 2""",REPUESTOS,VARGA,A,0,"56356,364",77490,"20,392",116235,89028
VAR RRCR 5680.7,REPARO CIL.RUEDA 608,REPUESTOS,VARGA,A,0,"15960,909",20191,"5,313",30287,30287
